symbol,strategy,L,train_net,test_net,train_trades,test_trades,test_MDD,liquidated,funding_paid,all_pass,vol
SHIBUSDT,F_flip,5,0.0,-0.3052310563828541,0,6,0.44849646589423187,False,-2.175621590222317,False,3353858.7866
SIRENUSDT,F_fade,2,0.0,-1.0,0,11,1.0,True,-31.06591262951648,False,1221561.5995
SIRENUSDT,F_fade,3,0.0,-1.0,0,11,1.0,True,-44.27566669536262,False,1221561.5995
SIRENUSDT,F_fade,5,0.0,-1.0,0,5,1.0,True,-12.60628177568012,False,1221561.5995
SIRENUSDT,F_flip,2,0.0,-0.19598524408182616,0,13,0.5740331537467636,False,17.705211291566282,False,1221561.5995
SIRENUSDT,F_flip,3,0.0,-1.0,0,12,1.0,True,23.112606209241083,False,1221561.5995
SIRENUSDT,F_flip,5,0.0,-1.0,0,6,1.0,True,11.527462676843951,False,1221561.5995
SKLUSDT,F_fade,2,0.0,-0.5514305070986047,0,235,0.5899111554001379,False,-41.81232842852117,False,5567453.380897
SKLUSDT,F_fade,3,0.0,-0.7600000128426379,0,235,0.7861562679951029,False,-49.91674079091679,False,5567453.380897
SKLUSDT,F_fade,5,0.0,-0.9567664361599298,0,235,0.9633806247161846,False,-41.741772537315484,False,5567453.380897
SKLUSDT,F_flip,2,0.0,0.022893615743696527,0,6,0.17580842536629526,False,-1.5645292411777958,False,5567453.380897
SKLUSDT,F_flip,3,0.0,0.019343725049504545,0,6,0.25720561546341025,False,-2.3615248956858244,False,5567453.380897
SKLUSDT,F_flip,5,0.0,-0.017214602304795767,0,6,0.40569938814707984,False,-3.910501738553279,False,5567453.380897
SKYAIUSDT,F_fade,2,0.0,-1.0,0,8,1.0,True,-18.501139120182632,False,2672823.58439
SKYAIUSDT,F_fade,3,0.0,-1.0,0,1,1.0,True,-12.789652536573659,False,2672823.58439
SKYAIUSDT,F_fade,5,0.0,-1.0,0,1,1.0,True,-17.182730622863815,False,2672823.58439
SKYAIUSDT,F_flip,2,0.0,-0.4844936645908944,0,5,0.6605943357714386,False,-9.3261876228492,False,2672823.58439
SKYAIUSDT,F_flip,3,0.0,-1.0,0,2,1.0,True,-11.841610398369141,False,2672823.58439
SKYAIUSDT,F_flip,5,0.0,-1.0,0,0,1.0,True,0.0,False,2672823.58439
SNDKUSDT,F_fade,2,-0.7191717555979126,0.05762196981517387,16,6,0.17858288072327633,False,-1.3131174942799988,False,261542016.58379
SNDKUSDT,F_fade,3,-0.8638824879712178,0.051617287425789415,16,6,0.26729175392995286,False,-1.9106273954292652,False,261542016.58379
SNDKUSDT,F_fade,5,-0.9739079540386173,-0.03785649018888404,16,6,0.44143223150033273,False,-2.9342470617064533,False,261542016.58379
SNDKUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,261542016.58379
